시군명,충전소명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,운영기관명,충전기타입명
성남시,판교역 환승주차장,경기도 성남시 분당구 백현동 132-179,,13529,37.3946690133,127.1122655306,한국전력,DC차데모+AC3상+DC콤보
성남시,LH경기지사,경기도 성남시 분당구 구미동 175,경기도 성남시 분당구 성남대로54번길 3,13637,37.3413710362,127.1104402258,한국전력,DC차데모+AC3상+DC콤보
성남시,가천대 글로벌캠퍼스,경기도 성남시 수정구 복정동 620-2번지,경기도 성남시 수정구 성남대로 1342,13120,37.4496437867,127.1269964861,한국전력,DC차데모+AC3상+DC콤보
성남시,성남 SK아파트형공장,경기도 성남시 중원구 상대원동 223-28번지 SK아파트형공장,,13211,37.4356323712,127.1744060797,케이티,AC완속
성남시,정자동로얄팰리스(지하2층),경기도 성남시 분당구 정자동 28-1번지 로얄팰리스 지하2층,경기도 성남시 분당구 성남대로 449,13596,37.3754070793,127.1103885103,케이티,AC완속
성남시,정자두산위브파빌리온,경기도 성남시 분당구 정자동 7번지 두산위브파빌리온,,13555,37.3716196380,127.1071666893,케이티,AC완속
성남시,구미동시그마2오피스텔,경기도 성남시 분당구 구미동 18번지 시그마2오피스텔,,13631,37.3437110217,127.1066234323,케이티,AC완속
성남시,한국정보통신기술협회,경기도 성남시 분당구 서현동 267-2번지 한국정보통신기술협회,경기도 성남시 분당구 분당로 47,13591,37.3837869889,127.1205792755,케이티,AC완속
성남시,대우분당서비스,경기도 성남시 분당구 야탑동 403번지,경기도 성남시 분당구 탄천로 257,13447,37.4148692995,127.1186596469,케이티,AC완속
성남시,포스테크노,경기도 성남시 중원구 상대원동 234-1번지 포스테크노,경기도 성남시 중원구 순환로 165,13207,37.4384185670,127.1780452538,케이티,AC완속
성남시,선택시티2,경기도 성남시 중원구 상대원동 307-2번지 선택시티 2 지하1층 장애인주차장 옆 주차면(307-2 선택시티 2),경기도 성남시 중원구 사기막골로 52,13210,37.4348662782,127.1711765608,케이티,AC완속
성남시,성남금강펜테리움IT타워,경기도 성남시 중원구 상대원동 333-7번지 금강펜테리움IT타워 지하3층 전기실뒷편 기둥1번,경기도 성남시 중원구 갈마치로 215,13217,37.4333851732,127.1733985075,케이티,AC완속
